# Model Spectrum: Old Kurucz model T = 3500.0 log(g) = 5.00000 z = 0.00
# No ISM extinction
# Normalization: A0V magnitude 9.000000 for filter 2MASS J
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.14250000  1.033521e-23  7.000488e-14
     0.14350000  1.457877e-23  1.001392e-13
     0.14420000  2.156185e-23  1.495533e-13
     0.14470000  1.753461e-23  1.224651e-13
     0.14550000  2.140488e-23  1.511535e-13
     0.14650000  3.121267e-23  2.234526e-13
     0.14750000  3.884062e-23  2.818704e-13
     0.14850000  4.033745e-23  2.967158e-13
     0.14950000  6.128987e-23  4.569308e-13
     0.15050000  8.423553e-23  6.364255e-13
     0.15120000  4.932607e-23  3.761485e-13
     0.15170000  7.883932e-23  6.051922e-13
     0.15250000  1.087578e-22  8.436831e-13
     0.15350000  1.386217e-22  1.089500e-12
     0.15450000  1.037084e-22  8.257530e-13
     0.15550000  1.612531e-22  1.300613e-12
     0.15650000  1.594586e-22  1.302735e-12
     0.15750000  2.653904e-22  2.195966e-12
     0.15850000  3.073765e-22  2.575779e-12
     0.15950000  3.196652e-22  2.712664e-12
     0.16050000  3.569791e-22  3.067412e-12
     0.16150000  4.093027e-22  3.560975e-12
     0.16250000  4.246369e-22  3.740277e-12
     0.16350000  5.612960e-22  5.005031e-12
     0.16450000  7.332714e-22  6.618748e-12
     0.16550000  6.879301e-22  6.285207e-12
     0.16650000  1.005568e-21  9.298638e-12
     0.16720000  9.334862e-22  8.704819e-12
     0.16770000  1.298483e-21  1.218097e-11
     0.16850000  1.634294e-21  1.547781e-11
     0.16950000  2.261256e-21  2.167047e-11
     0.17050000  2.399834e-21  2.327069e-11
     0.17150000  2.743342e-21  2.691457e-11
     0.17250000  3.673128e-21  3.645806e-11
     0.17350000  4.283742e-21  4.301319e-11
     0.17450000  5.908959e-21  6.001795e-11
     0.17550000  6.200240e-21  6.370038e-11
     0.17650000  7.514296e-21  7.808310e-11
     0.17750000  7.705047e-21  8.097507e-11
     0.17850000  1.245518e-20  1.323750e-10
     0.17950000  1.177504e-20  1.265525e-10
     0.18050000  1.760577e-20  1.913325e-10
     0.18150000  1.481204e-20  1.627599e-10
     0.18250000  2.200474e-20  2.444676e-10
     0.18350000  2.095879e-20  2.354061e-10
     0.18450000  2.925603e-20  3.321906e-10
     0.18550000  2.637149e-20  3.026925e-10
     0.18650000  3.808726e-20  4.418926e-10
     0.18750000  3.868496e-20  4.536532e-10
     0.18850000  4.722230e-20  5.596920e-10
     0.18950000  5.926362e-20  7.098815e-10
     0.19050000  6.450417e-20  7.808310e-10
     0.19150000  8.596077e-20  1.051519e-09
     0.19250000  8.006313e-20  9.896311e-10
     0.19350000  5.920061e-20  7.393795e-10
     0.19450000  1.090281e-19  1.375805e-09
     0.19550000  1.431363e-19  1.824831e-09
     0.19670000  1.625335e-19  2.097640e-09
     0.19760000  1.838528e-19  2.394548e-09
     0.19840000  2.242222e-19  2.944023e-09
     0.19950000  2.158022e-19  2.864976e-09
     0.20050000  2.523313e-19  3.383601e-09
     0.20150000  2.908312e-19  3.938858e-09
     0.20250000  2.861335e-19  3.913795e-09
     0.20350000  3.546489e-19  4.898992e-09
     0.20450000  3.860176e-19  5.384843e-09
     0.20550000  4.429019e-19  6.238936e-09
     0.20650000  4.531260e-19  6.445229e-09
     0.20740000  4.455740e-19  6.393176e-09
     0.20780000  6.984506e-19  1.006019e-08
     0.20850000  9.103554e-19  1.320086e-08
     0.20950000  9.988729e-19  1.462371e-08
     0.21050000  9.757087e-19  1.442128e-08
     0.21150000  1.061733e-18  1.584219e-08
     0.21250000  1.210994e-18  1.824059e-08
     0.21350000  1.462030e-18  2.222959e-08
     0.21450000  1.254217e-18  1.924892e-08
     0.21550000  1.474845e-18  2.284653e-08
     0.21650000  1.473584e-18  2.303933e-08
     0.21750000  1.620122e-18  2.556499e-08
     0.21850000  1.576271e-18  2.510228e-08
     0.21950000  2.326117e-18  3.738350e-08
     0.22050000  2.119614e-18  3.437584e-08
     0.22150000  2.435094e-18  3.985130e-08
     0.22250000  2.270818e-18  3.749917e-08
     0.22350000  3.371765e-18  5.618128e-08
     0.22450000  3.797076e-18  6.383535e-08
     0.22550000  4.390908e-18  7.447778e-08
     0.22650000  2.973211e-18  5.087933e-08
     0.22750000  4.907045e-18  8.471535e-08
     0.22850000  5.099981e-18  8.882193e-08
     0.22950000  7.487429e-18  1.315459e-07
     0.23050000  3.680297e-18  6.522348e-08
     0.23150000  9.165106e-18  1.638396e-07
     0.23250000  8.228902e-18  1.483772e-07
     0.23350000  1.162936e-17  2.114992e-07
     0.23450000  8.003998e-18  1.468155e-07
     0.23550000  7.749618e-18  1.433644e-07
     0.23650000  9.615610e-18  1.793983e-07
     0.23750000  9.776635e-18  1.839484e-07
     0.23850000  1.467280e-17  2.784000e-07
     0.23950000  1.425831e-17  2.728089e-07
     0.24050000  2.283383e-17  4.405430e-07
     0.24150000  1.592591e-17  3.098260e-07
     0.24250000  1.896953e-17  3.720996e-07
     0.24350000  2.678808e-17  5.298083e-07
     0.24450000  3.413027e-17  6.805761e-07
     0.24550000  3.905058e-17  7.850726e-07
     0.24650000  2.906030e-17  5.889972e-07
     0.24750000  4.386639e-17  8.963169e-07
     0.24850000  2.358688e-17  4.858505e-07
     0.24950000  2.597941e-17  5.394482e-07
     0.25050000  4.291409e-17  8.982448e-07
     0.25130000  3.495324e-17  7.362948e-07
     0.25180000  3.912650e-17  8.274881e-07
     0.25250000  4.443086e-17  9.449020e-07
     0.25350000  7.744082e-17  1.659989e-06
     0.25450000  9.093296e-17  1.964609e-06
     0.25550000  1.010245e-16  2.199823e-06
     0.25650000  6.640677e-17  1.457359e-06
     0.25750000  9.126725e-17  2.018593e-06
     0.25850000  7.959465e-17  1.774125e-06
     0.25950000  8.892171e-17  1.997385e-06
     0.26050000  1.148146e-16  2.598913e-06
     0.26150000  1.088667e-16  2.483236e-06
     0.26250000  1.535024e-16  3.528199e-06
     0.26350000  2.128591e-16  4.929838e-06
     0.26450000  1.806016e-16  4.214560e-06
     0.26550000  2.294253e-16  5.394481e-06
     0.26650000  2.160692e-16  5.118781e-06
     0.26750000  1.949901e-16  4.654139e-06
     0.26850000  2.506243e-16  6.026858e-06
     0.26950000  2.007013e-16  4.862359e-06
     0.27050000  2.971714e-16  7.253052e-06
     0.27150000  2.933397e-16  7.212566e-06
     0.27250000  2.689290e-16  6.661162e-06
     0.27350000  2.787111e-16  6.954218e-06
     0.27450000  3.754834e-16  9.437452e-06
     0.27550000  3.628628e-16  9.186813e-06
     0.27650000  4.750064e-16  1.211348e-05
     0.27750000  5.997881e-16  1.540647e-05
     0.27850000  4.366867e-16  1.129795e-05
     0.27950000  5.879797e-16  1.532164e-05
     0.28050000  5.691761e-16  1.493797e-05
     0.28150000  5.237823e-16  1.384481e-05
     0.28250000  5.535408e-16  1.473553e-05
     0.28350000  5.062063e-16  1.357104e-05
     0.28450000  4.296017e-16  1.159871e-05
     0.28550000  2.837129e-16  7.713840e-06
     0.28650000  6.043131e-16  1.654590e-05
     0.28750000  6.489258e-16  1.789163e-05
     0.28850000  9.090144e-16  2.523723e-05
     0.28950000  1.066191e-15  2.980654e-05
     0.29100000  1.713892e-15  4.841153e-05
     0.29300000  1.926892e-15  5.517874e-05
     0.29500000  1.988523e-15  5.772367e-05
     0.29700000  1.974937e-15  5.810926e-05
     0.29900000  2.514953e-15  7.499833e-05
     0.30100000  2.905245e-15  8.780012e-05
     0.30300000  3.744625e-15  1.146761e-04
     0.30500000  4.703476e-15  1.459479e-04
     0.30700000  3.460024e-15  1.087765e-04
     0.30900000  2.699857e-15  8.598782e-05
     0.31100000  4.606209e-15  1.486085e-04
     0.31300000  4.407708e-15  1.440392e-04
     0.31500000  5.924103e-15  1.960753e-04
     0.31700000  8.593198e-15  2.880399e-04
     0.31900000  7.542919e-15  2.560354e-04
     0.32100000  9.227383e-15  3.171523e-04
     0.32300000  1.088076e-14  3.786549e-04
     0.32500000  1.561745e-14  5.502449e-04
     0.32700000  1.932428e-14  6.892521e-04
     0.32900000  2.411487e-14  8.706747e-04
     0.33100000  2.208868e-14  8.072443e-04
     0.33300000  2.565523e-14  9.489508e-04
     0.33500000  2.511805e-14  9.402749e-04
     0.33700000  1.958894e-14  7.420788e-04
     0.33900000  2.775772e-14  1.064051e-03
     0.34100000  3.111135e-14  1.206721e-03
     0.34300000  3.727388e-14  1.462757e-03
     0.34500000  3.885824e-14  1.542768e-03
     0.34700000  4.293344e-14  1.724384e-03
     0.34900000  4.816570e-14  1.956897e-03
     0.35100000  5.709514e-14  2.346349e-03
     0.35300000  5.055916e-14  2.101496e-03
     0.35500000  6.457564e-14  2.714593e-03
     0.35700000  5.818526e-14  2.473596e-03
     0.35900000  6.036413e-14  2.595058e-03
     0.36100000  6.865613e-14  2.984510e-03
     0.36300000  7.241968e-14  3.183092e-03
     0.36400000  7.477059e-14  3.304554e-03
     0.36500000  4.954538e-14  2.201751e-03
     0.36700000  6.926186e-14  3.111756e-03
     0.36900000  5.021747e-14  2.280798e-03
     0.37100000  3.539574e-14  1.625093e-03
     0.37300000  1.811305e-14  8.405983e-04
     0.37500000  2.329236e-14  1.092585e-03
     0.37700000  5.595752e-14  2.652897e-03
     0.37900000  6.353696e-14  3.044277e-03
     0.38100000  5.960664e-14  2.886183e-03
     0.38300000  2.789312e-14  1.364816e-03
     0.38500000  4.558435e-14  2.253806e-03
     0.38700000  4.083067e-14  2.039801e-03
     0.38900000  4.251270e-14  2.145839e-03
     0.39100000  6.688013e-14  3.410593e-03
     0.39300000  3.257665e-14  1.678305e-03
     0.39500000  6.668084e-14  3.470360e-03
     0.39700000  5.203843e-14  2.735801e-03
     0.39900000  1.264171e-13  6.713220e-03
     0.40100000  1.578329e-13  8.465753e-03
     0.40300000  1.133501e-13  6.140610e-03
     0.40500000  1.388029e-13  7.594302e-03
     0.40700000  1.249157e-13  6.902163e-03
     0.40900000  1.846471e-13  1.030311e-02
     0.41100000  1.439842e-13  8.112932e-03
     0.41300000  1.595700e-13  9.078848e-03
     0.41500000  1.493435e-13  8.579499e-03
     0.41700000  1.554265e-13  9.015223e-03
     0.41900000  1.390982e-13  8.145706e-03
     0.42100000  7.966765e-14  4.710050e-03
     0.42300000  3.853740e-14  2.300077e-03
     0.42500000  8.038305e-14  4.843080e-03
     0.42700000  1.145976e-13  6.969641e-03
     0.42900000  1.213201e-13  7.447779e-03
     0.43100000  1.393947e-13  8.637341e-03
     0.43300000  2.046061e-13  1.279599e-02
     0.43500000  2.304337e-13  1.454467e-02
     0.43700000  2.443402e-13  1.556457e-02
     0.43900000  2.027704e-13  1.303506e-02
     0.44100000  2.072954e-13  1.344764e-02
     0.44300000  1.997731e-13  1.307747e-02
     0.44500000  2.227620e-13  1.471433e-02
     0.44700000  2.567297e-13  1.711081e-02
     0.44900000  2.725098e-13  1.832543e-02
     0.45100000  3.074659e-13  2.086072e-02
     0.45300000  2.515230e-13  1.721684e-02
     0.45500000  2.844946e-13  1.964609e-02
     0.45700000  3.210320e-13  2.236454e-02
     0.45900000  2.759913e-13  1.939546e-02
     0.46100000  2.983510e-13  2.114992e-02
     0.46300000  2.855333e-13  2.041729e-02
     0.46500000  2.739937e-13  1.976177e-02
     0.46700000  2.947092e-13  2.143911e-02
     0.46900000  2.869457e-13  2.105352e-02
     0.47100000  2.793031e-13  2.066792e-02
     0.47300000  2.658372e-13  1.983889e-02
     0.47500000  2.549703e-13  1.918917e-02
     0.47700000  1.877794e-13  1.425161e-02
     0.47900000  2.110281e-13  1.615067e-02
     0.48100000  2.369572e-13  1.828687e-02
     0.48300000  2.549435e-13  1.983890e-02
     0.48500000  2.879830e-13  2.259590e-02
     0.48700000  3.077997e-13  2.435036e-02
     0.48900000  3.280083e-13  2.616266e-02
     0.49100000  3.373291e-13  2.712665e-02
     0.49300000  3.307928e-13  2.681817e-02
     0.49500000  2.717470e-13  2.221030e-02
     0.49700000  2.208930e-13  1.820011e-02
     0.49900000  2.237219e-13  1.858185e-02
     0.50100000  2.006388e-13  1.679847e-02
     0.50300000  2.223938e-13  1.876886e-02
     0.50500000  2.174175e-13  1.849509e-02
     0.50700000  2.127824e-13  1.824446e-02
     0.50900000  2.140137e-13  1.849509e-02
     0.51100000  2.188495e-13  1.906192e-02
     0.51300000  2.129075e-13  1.868982e-02
     0.51500000  1.987918e-13  1.758702e-02
     0.51700000  1.759567e-13  1.568795e-02
     0.51900000  2.073052e-13  1.862620e-02
     0.52100000  2.384873e-13  2.159335e-02
     0.52300000  3.752859e-13  3.424088e-02
     0.52500000  4.112271e-13  3.780764e-02
     0.52700000  3.410990e-13  3.159956e-02
     0.52900000  4.558414e-13  4.255047e-02
     0.53100000  4.770128e-13  4.486404e-02
     0.53300000  4.227794e-13  4.006338e-02
     0.53500000  4.567807e-13  4.361086e-02
     0.53700000  4.497768e-13  4.326383e-02
     0.53900000  4.639528e-13  4.496045e-02
     0.54100000  4.632935e-13  4.523036e-02
     0.54300000  4.565545e-13  4.490261e-02
     0.54500000  3.564964e-13  3.532055e-02
     0.54700000  3.892451e-13  3.884875e-02
     0.54900000  4.113442e-13  4.135513e-02
     0.55100000  3.959888e-13  4.010194e-02
     0.55300000  4.617383e-13  4.710050e-02
     0.55500000  4.841238e-13  4.974183e-02
     0.55700000  5.050587e-13  5.226748e-02
     0.55900000  4.798098e-13  5.001175e-02
     0.56100000  4.190951e-13  4.399645e-02
     0.56300000  4.746572e-13  5.018526e-02
     0.56500000  5.292425e-13  5.635480e-02
     0.56700000  5.285718e-13  5.668255e-02
     0.56900000  5.643165e-13  6.094338e-02
     0.57100000  5.718931e-13  6.219656e-02
     0.57300000  6.261774e-13  6.857818e-02
     0.57500000  6.255001e-13  6.898304e-02
     0.57700000  5.795053e-13  6.435590e-02
     0.57900000  6.075772e-13  6.794194e-02
     0.58100000  5.813132e-13  6.545484e-02
     0.58300000  6.076012e-13  6.888664e-02
     0.58500000  5.956847e-13  6.799977e-02
     0.58700000  5.629483e-13  6.470294e-02
     0.58900000  5.044848e-13  5.837917e-02
     0.59100000  5.551883e-13  6.468365e-02
     0.59300000  5.598323e-13  6.566692e-02
     0.59500000  5.653812e-13  6.676588e-02
     0.59700000  5.849520e-13  6.954216e-02
     0.59900000  6.071490e-13  7.266549e-02
     0.60100000  6.213570e-13  7.486338e-02
     0.60300000  6.526901e-13  7.916276e-02
     0.60500000  6.714370e-13  8.197762e-02
     0.60700000  6.870992e-13  8.444543e-02
     0.60900000  6.906975e-13  8.544798e-02
     0.61100000  6.841704e-13  8.519733e-02
     0.61300000  6.637165e-13  8.319225e-02
     0.61500000  6.775920e-13  8.548655e-02
     0.61700000  5.057397e-13  6.422094e-02
     0.61900000  5.539163e-13  7.079535e-02
     0.62100000  5.151326e-13  6.626459e-02
     0.62300000  4.857699e-13  6.289064e-02
     0.62500000  5.032332e-13  6.557052e-02
     0.62700000  5.373720e-13  7.046758e-02
     0.62900000  5.795403e-13  7.648288e-02
     0.63100000  6.102767e-13  8.105219e-02
     0.63300000  6.110423e-13  8.166915e-02
     0.63500000  6.193834e-13  8.330792e-02
     0.63700000  6.310265e-13  8.540942e-02
     0.63900000  6.283565e-13  8.558293e-02
     0.64100000  6.112185e-13  8.377064e-02
     0.64300000  6.165090e-13  8.502382e-02
     0.64500000  5.972701e-13  8.288377e-02
     0.64700000  5.975874e-13  8.344288e-02
     0.64900000  5.945960e-13  8.353927e-02
     0.65100000  6.332271e-13  8.951601e-02
     0.65300000  6.457555e-13  9.184886e-02
     0.65500000  6.369680e-13  9.115479e-02
     0.65700000  6.343010e-13  9.132831e-02
     0.65900000  6.466939e-13  9.368043e-02
     0.66100000  6.439770e-13  9.385395e-02
     0.66300000  6.378622e-13  9.352619e-02
     0.66500000  6.525908e-13  9.626392e-02
     0.66700000  5.942474e-13  8.818571e-02
     0.66900000  5.160550e-13  7.704200e-02
     0.67100000  4.608634e-13  6.921441e-02
     0.67300000  4.458774e-13  6.736354e-02
     0.67500000  4.404483e-13  6.693939e-02
     0.67700000  4.350754e-13  6.651523e-02
     0.67900000  4.272507e-13  6.570549e-02
     0.68100000  4.515407e-13  6.985064e-02
     0.68300000  4.747958e-13  7.388011e-02
     0.68500000  4.850844e-13  7.592377e-02
     0.68700000  5.023483e-13  7.908565e-02
     0.68900000  5.357190e-13  8.483103e-02
     0.69100000  5.726900e-13  9.121263e-02
     0.69300000  5.807024e-13  9.302493e-02
     0.69500000  6.222379e-13  1.002548e-01
     0.69700000  6.590047e-13  1.067907e-01
     0.69900000  6.825652e-13  1.112443e-01
     0.70100000  7.283124e-13  1.193804e-01
     0.70300000  7.445241e-13  1.227351e-01
     0.70500000  7.708902e-13  1.278056e-01
     0.70700000  7.301103e-13  1.217325e-01
     0.70900000  5.365066e-13  8.995945e-02
     0.71100000  4.207570e-13  7.094958e-02
     0.71300000  4.031646e-13  6.836610e-02
     0.71500000  3.887018e-13  6.628388e-02
     0.71700000  4.072236e-13  6.983136e-02
     0.71900000  4.133466e-13  7.127734e-02
     0.72100000  4.197292e-13  7.278116e-02
     0.72300000  4.687158e-13  8.172698e-02
     0.72500000  5.123178e-13  8.982449e-02
     0.72700000  5.606828e-13  9.884743e-02
     0.72900000  5.974166e-13  1.059038e-01
     0.73100000  6.609982e-13  1.178187e-01
     0.73300000  6.912824e-13  1.238919e-01
     0.73500000  7.311778e-13  1.317580e-01
     0.73700000  7.709499e-13  1.396820e-01
     0.73900000  8.023436e-13  1.461600e-01
     0.74100000  8.349665e-13  1.529272e-01
     0.74300000  8.530925e-13  1.570916e-01
     0.74500000  8.579949e-13  1.588461e-01
     0.74700000  8.912138e-13  1.658832e-01
     0.74900000  8.993393e-13  1.682932e-01
     0.75100000  9.131047e-13  1.717828e-01
     0.75300000  9.288520e-13  1.756773e-01
     0.75500000  9.298185e-13  1.767956e-01
     0.75700000  9.328800e-13  1.783187e-01
     0.75900000  9.367993e-13  1.800153e-01
     0.76100000  8.995448e-13  1.737686e-01
     0.76300000  7.883048e-13  1.530814e-01
     0.76500000  7.081399e-13  1.382360e-01
     0.76700000  6.539512e-13  1.283262e-01
     0.76900000  6.216232e-13  1.226194e-01
     0.77100000  6.126656e-13  1.214819e-01
     0.77300000  6.094993e-13  1.214819e-01
     0.77500000  6.193489e-13  1.240846e-01
     0.77700000  6.014210e-13  1.211156e-01
     0.77900000  6.442456e-13  1.304084e-01
     0.78100000  6.410449e-13  1.304277e-01
     0.78300000  6.294780e-13  1.287311e-01
     0.78500000  6.056395e-13  1.244895e-01
     0.78700000  6.550109e-13  1.353248e-01
     0.78900000  6.428739e-13  1.334932e-01
     0.79100000  6.452621e-13  1.346693e-01
     0.79300000  6.713317e-13  1.408195e-01
     0.79500000  6.940217e-13  1.463142e-01
     0.79700000  7.070126e-13  1.498039e-01
     0.79900000  7.437668e-13  1.583834e-01
     0.80100000  7.825779e-13  1.674834e-01
     0.80300000  7.791325e-13  1.675798e-01
     0.80500000  8.064835e-13  1.743278e-01
     0.80700000  8.366604e-13  1.817505e-01
     0.80900000  8.500148e-13  1.855679e-01
     0.81100000  8.805393e-13  1.931834e-01
     0.81300000  9.076931e-13  2.001241e-01
     0.81500000  9.241278e-13  2.047513e-01
     0.81700000  9.351953e-13  2.082216e-01
     0.81900000  8.815168e-13  1.972321e-01
