Wavelength,xpos,ypos,order
3.7500000000000018,1.54730026682768,122.70141859545274,2.0
3.800000000000002,1.497620795545563,124.53429875559047,2.0
3.8500000000000023,1.4477683941008874,126.3671746453022,2.0
3.900000000000002,1.3977468228363361,128.2000463574477,2.0
3.950000000000002,1.3475595485573646,130.0329139776381,2.0
4.000000000000002,1.2972097763456556,131.8657775850213,2.0
4.0500000000000025,1.246700482129183,133.69863725308642,2.0
4.100000000000002,1.19603444512163,135.53149305046472,2.0
4.150000000000002,1.1452142788240451,137.3643450416954,2.0
4.200000000000003,1.094242459123995,139.19719328791928,2.0
4.250000000000003,1.0431213477655268,141.03003784745846,2.0
4.3000000000000025,0.9918532095038145,142.86287877623994,2.0
4.350000000000002,0.9404402212587766,144.69571612802176,2.0
4.400000000000002,0.88888447197137,146.52854995438926,2.0
4.450000000000003,0.8371879522852951,148.36138030450044,2.0
4.500000000000003,0.785352533970188,150.19420722457775,2.0
4.5500000000000025,0.7333799401332103,152.02703075717238,2.0
4.600000000000003,0.681271708637903,153.85985094026123,2.0
4.650000000000003,0.6290291530217967,155.69266780628138,2.0
4.700000000000003,0.5766533275332147,157.52548138126707,2.0
4.750000000000003,0.524145005654728,159.35829168431903,2.0
4.8000000000000025,0.47150468497025383,161.19109872772484,2.0
4.850000000000003,0.41873263519893916,163.02390251814512,2.0
4.900000000000003,0.36582901093745057,164.85670305939757,2.0
4.950000000000003,0.3127940562097886,166.6895003575082,2.0
5.0000000000000036,0.2596284342097233,168.52229442885425,2.0
1.05,2.721048856041613,42.67269524186222,3.0
1.1,2.7486889372850802,45.47985515994858,3.0
1.1500000000000001,2.7639783499808668,48.286710084298875,3.0
1.2000000000000002,2.768660202757531,51.093303060130545,3.0
1.2500000000000002,2.7642230843103053,53.89967084741541,3.0
1.3000000000000003,2.751936544830953,56.70584479707623,3.0
1.3500000000000003,2.7328821102382497,59.51185161686811,3.0
1.4000000000000004,2.7079803126676136,62.31771403888316,3.0
1.4500000000000004,2.6780141780562055,65.12345139956498,3.0
1.5000000000000004,2.643649571884104,67.92908014213687,3.0
1.5500000000000005,2.6054527670769883,70.73461425043253,3.0
1.6000000000000005,2.563905563615801,73.54006562226749,3.0
1.6500000000000006,2.519418257411796,76.34544438969918,3.0
1.7000000000000006,2.4723407263733463,79.15075919279192,3.0
1.7500000000000007,2.4229718741974806,81.9560174128267,3.0
1.8000000000000007,2.3715676471497313,84.76122537027169,3.0
1.8500000000000008,2.3183478158428,87.56638849225507,3.0
1.9000000000000008,2.2635016926789526,90.3715114537542,3.0
1.9500000000000008,2.207192936074938,93.17659829623389,3.0
2.000000000000001,2.1495635747496067,95.98165252702408,3.0
2.0500000000000007,2.0907373691104985,98.78667720232765,3.0
2.100000000000001,2.0308226120434933,101.59167499638467,3.0
2.1500000000000012,1.9699144580875037,104.39664825899001,3.0
2.200000000000001,1.908096857978689,107.20159906326612,3.0
2.250000000000001,1.8454441647830138,110.00652924532578,3.0
2.300000000000001,1.782022468225817,112.8114404372225,3.0
2.3500000000000014,1.7178907052819512,115.61633409437611,3.0
2.4000000000000012,1.6531015875360318,118.42121151847348,3.0
2.450000000000001,1.587702379184039,121.2260738766809,3.0
2.5000000000000013,1.521735553748675,124.03092221786129,3.0
2.5500000000000016,1.4552393525515863,126.83575748636544,3.0
2.6000000000000014,1.3882482636645412,129.6405805338594,3.0
2.6500000000000012,1.3207934363726748,132.4453921295597,3.0
2.7000000000000015,1.2529030430781314,135.25019296917,3.0
2.7500000000000018,1.18460259797931,138.05498368275096,3.0
2.8000000000000016,1.1159152397372845,140.85976484170055,3.0
2.8500000000000014,1.0468619836198994,143.66453696498056,3.0
2.9000000000000017,0.9774619472590161,146.46930052469162,3.0
2.950000000000002,0.9077325531035056,149.27405595107257,3.0
3.0000000000000018,0.8376897098846408,152.07880363698175,3.0
3.0500000000000016,0.7673479748376738,154.883543941903,3.0
3.100000000000002,0.6967206980749696,157.68827719551092,3.0
3.150000000000002,0.6258201502858018,160.4930037008241,3.0
3.200000000000002,0.5546576348313068,163.2977237369735,3.0
3.2500000000000018,0.4832435853108314,166.10243756161182,3.0
3.300000000000002,0.41158764971839884,168.90714541299164,3.0
3.3500000000000023,0.33969876239470154,171.71184751174204,3.0
3.400000000000002,0.26758520508704,174.5165440623767,3.0
3.450000000000002,0.19525465853610954,177.32123525456794,3.0
3.500000000000002,0.12271424606975687,180.12592126422268,3.0
3.5500000000000025,0.04997057074491249,182.93060225440027,3.0
3.6000000000000023,-0.022970252405313713,185.73527837610854,3.0
3.650000000000002,-0.09610256755205972,188.53994976901524,3.0
